KNOWN_DRIVER	SYMBOL	DRIVER_LABEL	MUTS_CS	MUTS_PAM	POOL_SIGNALS	ONCODRIVE_ROLE	GENE	SIGNAL_COUNT	SIGNALS	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES
	CRNKL1	perProject_driver	79	59		0.8775	ENSG00000101343	1	F	57	74
	ARID4A	perProject_driver	78	61			ENSG00000032219	1	F	59	74
	EFTUD2	perProject_driver	78	46		0.679	ENSG00000108883	1	F	46	75
	RFC4	perProject_driver	78	23		0.8465	ENSG00000163918	1	R	21	74
	MAP3K11	perProject_driver	78	27			ENSG00000173327	1	C	27	69
	SMARCA1	perProject_driver	77	51		0.013999999999999999	ENSG00000102038	1	F	50	75
	RPGR	perProject_driver	75	52		0.221	ENSG00000156313	1	R	51	72
	MMP2	perProject_driver	74	46		0.7735	ENSG00000087245	1	F	45	70
True	CHEK2	perProject_driver	74	52	F	0.2895	ENSG00000183765	1	C	52	70
	CNOT3	perProject_driver	73	42	F	0.9095	ENSG00000088038	1	C	40	70
	DHX9	perProject_driver	73	60		0.9279999999999999	ENSG00000135829	1	F	60	72
True	MYC	perProject_driver	73	44			ENSG00000136997	1	F	35	44
True	TSC1	perProject_driver	73	44		0.0	ENSG00000165699	1	F	44	72
	TRIP10	perProject_driver	72	28		0.7605	ENSG00000125733	1	F	28	68
	SEC31A	perProject_driver	72	49		0.05	ENSG00000138674	1	F	47	69
	CCAR1	perProject_driver	71	57	F	0.012	ENSG00000060339	1	F	56	69
	LRPPRC	perProject_driver	70	54		0.10099999999999999	ENSG00000138095	1	F	51	64
	CTNND1	perProject_driver	70	51		0.015	ENSG00000198561	1	F	48	67
	INPP4A	perProject_driver	69	50		0.09	ENSG00000040933	1	F	47	66
True	EZH2	perProject_driver	69	60	F	0.179	ENSG00000106462	1	F	59	68
True	ZMYM2	perProject_driver	69	58	F	0.201	ENSG00000121741	1	F	49	59
	CUL3	perProject_driver	68	54	F	0.1075	ENSG00000036257	1	F	53	66
	ACVR1B	perProject_driver	68	59	F	0.187	ENSG00000135503	1	F	55	64
True	PER1	perProject_driver	68	44			ENSG00000179094	1	F	43	65
	LIMA1	perProject_driver	67	41		0.17800000000000002	ENSG00000050405	1	F	40	65
	VIM	perProject_driver	66	45			ENSG00000026025	1	C	45	61
	NUP93	perProject_driver	65	48		0.057	ENSG00000102900	1	F	48	63
	ARHGEF6	perProject_driver	65	56	F	0.214	ENSG00000129675	1	F	54	63
True	SYK	perProject_driver	65	47			ENSG00000165025	1	F	45	63
	CUL1	perProject_driver	62	54	F	0.213	ENSG00000055130	1	F	53	60
	ERBB2IP	perProject_driver	62	46	F	0.2055	ENSG00000112851	1	F	43	57
	APAF1	perProject_driver	62	48		0.0095	ENSG00000120868	1	F	48	62
	AXIN2	perProject_driver	62	46		0.265	ENSG00000168646	1	F	44	59
	NEDD4L	perProject_driver	61	42	F	0.8445	ENSG00000049759	1	F	41	60
True	CYLD	perProject_driver	61	45	F	0.035	ENSG00000083799	1	F	45	60
True	ERCC2	perProject_driver	61	34	F	0.9525	ENSG00000104884	1	F	34	61
	TNPO2	perProject_driver	61	39		0.3715	ENSG00000105576	1	F	39	59
	RASA2	perProject_driver	61	48		0.1265	ENSG00000155903	1	F	48	60
True	FGFR3	perProject_driver	60	51	F	0.8115	ENSG00000068078	1	F	47	56
True	SMARCB1	perProject_driver	59	32		0.0155	ENSG00000099956	1	F	32	58
	TAOK1	perProject_driver	59	48	F	0.5770000000000001	ENSG00000160551	1	F	48	59
	LNPEP	perProject_driver	58	41			ENSG00000113441	1	F	38	51
	WASF3	perProject_driver	58	43			ENSG00000132970	1	C	42	56
	SEC24D	perProject_driver	58	47	F	0.0175	ENSG00000150961	1	F	46	56
	PSME3	perProject_driver	57	18		0.0235	ENSG00000131467	1	C	18	56
	GPS2	perProject_driver	57	23	F	0.012	ENSG00000132522	1	R	22	56
	DHX35	perProject_driver	56	35		0.8525	ENSG00000101452	1	F	33	53
	PRKCZ	perProject_driver	55	31			ENSG00000067606	1	C	31	55
	MEF2C	perProject_driver	54	34		0.8515	ENSG00000081189	1	F	34	53
	TJP2	perProject_driver	53	42	F	0.7255	ENSG00000119139	1	F	42	50
True	CDK4	perProject_driver	53	23			ENSG00000135446	1	C	22	52
	RAD21	perProject_driver	53	44	R	0.28600000000000003	ENSG00000164754	1	F	43	52
	RASGRP1	perProject_driver	53	37		0.6715	ENSG00000172575	1	F	36	51
True	CRTC3	perProject_driver	52	33			ENSG00000140577	1	C	32	50
	NTN4	perProject_driver	50	38	F	0.7829999999999999	ENSG00000074527	1	F	38	49
	ACTB	perProject_driver	50	31	F	0.8405	ENSG00000075624	1	F	29	45
	CTTN	perProject_driver	50	35		0.8759999999999999	ENSG00000085733	1	F	35	49
	MCM3	perProject_driver	50	37		0.8320000000000001	ENSG00000112118	1	F	35	46
True	MYCN	perProject_driver	49	36			ENSG00000134323	1	C	36	49
	FAF1	perProject_driver	49	31		0.0145	ENSG00000185104	1	F	30	46
True	ELF4	perProject_driver	48	24		0.8745	ENSG00000102034	1	C	24	46
True	PAX5	perProject_driver	48	33	F	0.966	ENSG00000196092	1	F	30	45
	FOXA2	perProject_driver	47	32		0.14	ENSG00000125798	1	F	31	45
True	FAM46C	perProject_driver	47	33			ENSG00000183508	1	F	31	44
	CYTH4	perProject_driver	46	23			ENSG00000100055	1	F	22	43
	TFDP1	perProject_driver	45	37	F	0.922	ENSG00000198176	1	F	37	45
	SMURF2	perProject_driver	44	28			ENSG00000108854	1	F	27	41
	EEF1B2	perProject_driver	44	34	C	0.8225	ENSG00000114942	1	C	25	35
True	PSIP1	perProject_driver	44	33		0.02	ENSG00000164985	1	F	33	44
	ACTG2	perProject_driver	42	28	F	0.769	ENSG00000163017	1	F	28	41
	IRF2	perProject_driver	42	34		0.0555	ENSG00000168310	1	F	34	42
	PSMD11	perProject_driver	41	17		0.221	ENSG00000108671	1	F	17	40
	MCM8	perProject_driver	41	30		0.932	ENSG00000125885	1	F	28	38
	G3BP1	perProject_driver	41	25		0.685	ENSG00000145907	1	F	25	41
	RBBP7	perProject_driver	39	24	F	0.8859999999999999	ENSG00000102054	1	F	23	38
	RHOT1	perProject_driver	39	28			ENSG00000126858	1	F	28	39
	JMY	perProject_driver	39	28			ENSG00000152409	1	C	27	38
	MAT2A	perProject_driver	38	15			ENSG00000168906	1	F	15	38
	ARFGAP3	perProject_driver	38	26		0.012	ENSG00000242247	1	F	26	36
	COPS2	perProject_driver	37	29	F	0.0355	ENSG00000166200	1	F	29	36
	DEPDC1B	perProject_driver	36	28		0.059000000000000004	ENSG00000035499	1	F	28	36
True	ACSL3	perProject_driver	35	27			ENSG00000123983	1	F	27	33
	HLA-B	perProject_driver	35	32	F	0.0645	ENSG00000234745	1	F	28	31
	ING1	perProject_driver	34	26		0.011000000000000001	ENSG00000153487	1	F	26	33
	WNT5A	perProject_driver	33	21		0.7185	ENSG00000114251	1	F	20	32
	SPRR3	perProject_driver	33	18		0.8715	ENSG00000163209	1	R	17	32
	MGMT	perProject_driver	32	15		0.708	ENSG00000170430	1	C	15	31
	PPM1D	perProject_driver	32	25		0.091	ENSG00000170836	1	F	24	31
	CDC27	perProject_driver	30	19		0.0445	ENSG00000004897	1	F	18	27
	SH2B3	perProject_driver	29	13			ENSG00000111252	1	F	13	28
	SOX17	perProject_driver	29	22		0.8809999999999999	ENSG00000164736	1	F	21	28
	FKBP5	perProject_driver	28	23		0.9305	ENSG00000096060	1	F	21	26
	MFNG	perProject_driver	25	19		0.927	ENSG00000100060	1	F	19	25
	NKX3-1	perProject_driver	24	18		0.8265	ENSG00000167034	1	F	18	24
